Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,6610003678600,6616258861700,6255183100,-1
0,1,STEP,6616259157500,6616286630300,27472800,-1
1,1,STEP,6616287552500,6616314621700,27069200,-1
2,1,STEP,6616315781900,6616341868000,26086100,-1
3,1,STEP,6616343334100,6616364781600,21447500,-1
4,1,STEP,6616365761300,6616389065100,23303800,-1
5,1,STEP,6616390107900,6616410856300,20748400,-1
6,1,STEP,6616411857500,6616434682500,22825000,-1
7,1,STEP,6616437661300,6616458318900,20657600,-1
8,1,STEP,6616459085800,6616474629500,15543700,-1
9,1,STEP,6616475725400,6616494915600,19190200,-1
10,1,STEP,6616496264200,6616521601400,25337200,-1
11,1,STEP,6616523695800,6616543193600,19497800,-1
12,1,STEP,6616543923900,6616559721800,15797900,-1
13,1,STEP,6616560535900,6616581887800,21351900,-1
14,1,STEP,6616582851000,6616606088600,23237600,-1
15,1,STEP,6616607022600,6616628496200,21473600,-1
16,1,STEP,6616629634000,6616648014700,18380700,-1
17,1,STEP,6616648852500,6616667842800,18990300,-1
18,1,STEP,6616669149000,6616690479200,21330200,-1
19,1,STEP,6616691256900,6616710346900,19090000,-1
20,1,STEP,6616711641400,6616730586600,18945200,-1
21,1,STEP,6616731770200,6616750723400,18953200,-1
22,1,STEP,6616752135800,6616771396300,19260500,-1
23,1,STEP,6616772808400,6616791278100,18469700,-1
24,1,STEP,6616792071700,6616813252900,21181200,-1
25,1,STEP,6616814249700,6616836830900,22581200,-1
26,1,STEP,6616838100800,6616855083600,16982800,-1
27,1,STEP,6616856483600,6616873118300,16634700,-1
28,1,STEP,6616874178500,6616894205500,20027000,-1
29,1,STEP,6616895347100,6616920987300,25640200,-1
30,1,STEP,6616924763500,6616941868900,17105400,-1
31,1,STEP,6616942824400,6616963364100,20539700,-1
32,1,STEP,6616964379200,6617006176000,41796800,-1
33,1,STEP,6617007575500,6617047539000,39963500,-1
34,1,STEP,6617048513000,6617075853400,27340400,-1
35,1,STEP,6617077194700,6617097302600,20107900,-1
36,1,STEP,6617098457100,6617115024600,16567500,-1
37,1,STEP,6617116983800,6617142675800,25692000,-1
38,1,STEP,6617144186800,6617163376100,19189300,-1
39,1,STEP,6617164370500,6617181984100,17613600,-1
40,1,STEP,6617184880300,6617200999000,16118700,-1
41,1,STEP,6617202226500,6617227696800,25470300,-1
42,1,STEP,6617229011500,6617246195800,17184300,-1
43,1,STEP,6617247113600,6617264492700,17379100,-1
44,1,STEP,6617265797100,6617286278700,20481600,-1
45,1,STEP,6617287332900,6617309912000,22579100,-1
46,1,STEP,6617310933600,6617335136200,24202600,-1
47,1,STEP,6617336625500,6617357306300,20680800,-1
48,1,STEP,6617358168800,6617379068000,20899200,-1
49,1,STEP,6617380126600,6617401393700,21267100,-1
50,1,STEP,6617402494700,6617417595900,15101200,-1
51,1,STEP,6617418573900,6617440994400,22420500,-1
52,1,STEP,6617442337900,6617463233500,20895600,-1
53,1,STEP,6617464360100,6617486983700,22623600,-1
54,1,STEP,6617488276600,6617508935700,20659100,-1
55,1,STEP,6617509951600,6617528533400,18581800,-1
56,1,STEP,6617529793400,6617557263700,27470300,-1
57,1,STEP,6617558436600,6617575913700,17477100,-1
58,1,STEP,6617577132900,6617594632300,17499400,-1
59,1,STEP,6617595453300,6617617295400,21842100,-1
60,1,STEP,6617619257000,6617642043000,22786000,-1
61,1,STEP,6617643351100,6617662115200,18764100,-1
62,1,STEP,6617663272000,6617680223900,16951900,-1
63,1,STEP,6617681102800,6617699889000,18786200,-1
64,1,STEP,6617701113800,6617720690300,19576500,-1
65,1,STEP,6617722061900,6617739702100,17640200,-1
66,1,STEP,6617740588900,6617758203100,17614200,-1
67,1,STEP,6617760024700,6617784643800,24619100,-1
68,1,STEP,6617787363100,6617806658900,19295800,-1
69,1,STEP,6617807548100,6617826966800,19418700,-1
70,1,STEP,6617827844800,6617850306800,22462000,-1
71,1,STEP,6617851789000,6617877673800,25884800,-1
72,1,STEP,6617879029100,6617898766100,19737000,-1
73,1,STEP,6617900188600,6617916212100,16023500,-1
74,1,STEP,6617918032900,6617940640400,22607500,-1
75,1,STEP,6617942198900,6617966134500,23935600,-1
76,1,STEP,6617968131300,6617994017600,25886300,-1
77,1,STEP,6617995293500,6618013131800,17838300,-1
78,1,STEP,6618014660900,6618044117500,29456600,-1
79,1,STEP,6618045392900,6618069511700,24118800,-1
80,1,STEP,6618070815200,6618106449200,35634000,-1
81,1,STEP,6618107796700,6618134052300,26255600,-1
82,1,STEP,6618135321300,6618158519200,23197900,-1
83,1,STEP,6618159563900,6618192716800,33152900,-1
84,1,STEP,6618194002600,6618212565100,18562500,-1
85,1,STEP,6618213600300,6618238145700,24545400,-1
86,1,STEP,6618239356600,6618261222200,21865600,-1
87,1,STEP,6618262514800,6618291543800,29029000,-1
88,1,STEP,6618292716000,6618313163000,20447000,-1
89,1,STEP,6618314525200,6618341122600,26597400,-1
90,1,STEP,6618343294400,6618368164400,24870000,-1
91,1,STEP,6618369557300,6618396821400,27264100,-1
92,1,STEP,6618398185400,6618429139300,30953900,-1
93,1,STEP,6618432275200,6618456882400,24607200,-1
94,1,STEP,6618458305000,6618489353700,31048700,-1
95,1,STEP,6618490629900,6618526180200,35550300,-1
96,1,STEP,6618528117400,6618548477400,20360000,-1
97,1,STEP,6618549809200,6618574174600,24365400,-1
98,1,STEP,6618575418700,6618607066500,31647800,-1
99,1,STEP,6618608462500,6618630507700,22045200,-1
100,1,STEP,6618631809300,6618657959600,26150300,-1
101,1,STEP,6618659839500,6618691496400,31656900,-1
102,1,STEP,6618692891100,6618715332000,22440900,-1
103,1,STEP,6618716592600,6618743487200,26894600,-1
104,1,STEP,6618745638900,6618773639800,28000900,-1
105,1,STEP,6618774931400,6618797882700,22951300,-1
106,1,STEP,6618800680800,6618828695000,28014200,-1
107,1,STEP,6618834326200,6618863322500,28996300,-1
108,1,STEP,6618864712600,6618885523700,20811100,-1
109,1,STEP,6618887441200,6618910787300,23346100,-1
110,1,STEP,6618911793700,6618929625600,17831900,-1
111,1,STEP,6618931128400,6618957807400,26679000,-1
112,1,STEP,6618959286800,6618989482500,30195700,-1
113,1,STEP,6618990911700,6619010854000,19942300,-1
114,1,STEP,6619012176900,6619031804700,19627800,-1
115,1,STEP,6619032992400,6619051821700,18829300,-1
116,1,STEP,6619053241100,6619072602800,19361700,-1
117,1,STEP,6619073866200,6619091710100,17843900,-1
118,1,STEP,6619092865400,6619111311600,18446200,-1
119,1,STEP,6619112966900,6619135731600,22764700,-1
120,1,STEP,6619136814300,6619157660300,20846000,-1
121,1,STEP,6619158891700,6619175320700,16429000,-1
122,1,STEP,6619176335200,6619191585900,15250700,-1
123,1,STEP,6619192533700,6619212366200,19832500,-1
124,1,STEP,6619213837700,6619240565900,26728200,-1
125,1,STEP,6619242726300,6619260561900,17835600,-1
126,1,STEP,6619261702100,6619279250000,17547900,-1
127,1,STEP,6619281911700,6619302974000,21062300,-1
128,1,STEP,6619304567200,6619323482800,18915600,-1
129,1,STEP,6619325057500,6619341861300,16803800,-1
130,1,STEP,6619343092900,6619363438600,20345700,-1
131,1,STEP,6619365009900,6619388186900,23177000,-1
132,1,STEP,6619389361700,6619409777800,20416100,-1
